,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
0,0.0,72.762,62.708000000000006,50.495999999999995,55.474000000000004,66.55,75.858,72.944,72.536
1,0.01,72.798,62.586,50.58,55.574,66.55,75.89200000000001,72.976,72.572
2,0.02,72.888,62.464,50.58,55.574,66.55,76.00399999999999,73.092,72.62599999999999
3,0.03,72.934,62.715999999999994,50.498,55.474000000000004,66.55,76.06200000000001,73.152,72.65799999999999
4,0.04,72.992,62.83,50.498,55.474000000000004,66.55,76.126,73.228,72.69
5,0.05,73.038,62.83,50.498,55.474000000000004,66.55,76.17800000000001,73.28,72.724
6,0.06,73.06800000000001,62.83,50.498,55.474000000000004,66.55,76.212,73.304,72.75999999999999
7,0.07,73.114,62.83,50.498,55.474000000000004,66.55,76.27000000000001,73.352,72.814
8,0.08,73.15599999999999,62.83,50.416,55.588,66.55,76.316,73.386,72.858
9,0.09,73.212,62.83,50.416,55.688,66.55,76.38000000000001,73.444,72.91799999999999
10,0.1,73.26599999999999,62.83,50.416,55.798,66.55,76.43799999999999,73.518,72.95
11,0.11000000000000001,73.32199999999999,62.952,50.416,55.798,66.55,76.49600000000001,73.576,72.994
12,0.12,73.4,62.952,50.416,55.798,66.55,76.588,73.688,73.02799999999999
13,0.13,73.452,63.064,50.416,55.798,66.55,76.648,73.784,73.03
14,0.14,73.518,63.30800000000001,50.416,55.798,66.55,76.714,73.85999999999999,73.07399999999998
15,0.15,73.54599999999999,63.30800000000001,50.416,55.798,66.55,76.74600000000001,73.886,73.10999999999999
16,0.16,73.58,63.46,50.498,55.798,66.55,76.776,73.938,73.12199999999999
17,0.17,73.64399999999999,63.46,50.58,56.012,66.80999999999999,76.83000000000001,73.992,73.196
18,0.18,73.668,63.46,50.492,56.012,66.80999999999999,76.864,74.012,73.22999999999999
19,0.19,73.722,63.348,50.492,56.012,66.80999999999999,76.93199999999999,74.096,73.24
20,0.2,73.74199999999999,63.5,50.403999999999996,56.012,66.80999999999999,76.954,74.114,73.262
21,0.21000000000000002,73.786,63.5,50.403999999999996,56.012,67.08,77.00399999999999,74.14599999999999,73.32000000000001
22,0.22000000000000003,73.83,63.5,50.492,56.012,67.08,77.048,74.17399999999999,73.388
23,0.23000000000000004,73.842,63.622,50.492,56.012,67.08,77.05999999999999,74.18199999999999,73.408
24,0.24,73.88799999999999,63.612,50.492,56.012,67.354,77.10600000000001,74.206,73.478
25,0.25,73.922,63.612,50.492,56.012,67.354,77.148,74.26000000000002,73.48800000000001
26,0.26,73.97999999999999,63.726,50.58,56.124,67.354,77.2,74.314,73.55199999999999
27,0.27,74.05199999999999,63.726,50.66199999999999,56.124,67.624,77.276,74.392,73.62199999999999
28,0.28,74.102,63.726,50.748,56.124,67.624,77.33,74.46799999999999,73.63399999999999
29,0.29,74.16999999999999,63.598,50.836,56.124,67.624,77.41,74.53,73.712
30,0.3,74.224,63.484,50.919999999999995,56.124,67.888,77.47,74.58200000000001,73.768
31,0.31,74.28599999999999,63.484,50.919999999999995,56.124,67.888,77.544,74.644,73.834
32,0.32,74.348,63.763999999999996,50.919999999999995,56.124,67.888,77.604,74.71199999999999,73.88000000000001
33,0.33,74.40599999999999,63.763999999999996,50.919999999999995,56.12800000000001,67.888,77.672,74.756,73.958
34,0.34,74.454,63.763999999999996,50.919999999999995,56.12800000000001,67.888,77.728,74.798,74.012
35,0.35,74.47,63.763999999999996,50.919999999999995,56.12800000000001,67.888,77.746,74.824,74.012
36,0.36,74.516,63.652,50.919999999999995,56.12800000000001,67.888,77.812,74.902,74.022
37,0.37,74.572,63.89,50.919999999999995,56.12800000000001,67.888,77.86399999999999,74.95599999999999,74.08
38,0.38,74.61200000000001,63.89,50.919999999999995,56.22800000000001,67.888,77.906,74.998,74.11399999999999
39,0.39,74.67,63.89,50.919999999999995,56.342000000000006,67.888,77.97200000000001,75.06599999999999,74.16
40,0.4,74.70400000000001,64.012,51.001999999999995,56.342000000000006,67.888,77.998,75.118,74.17
41,0.41,74.75999999999999,64.134,51.001999999999995,56.342000000000006,67.888,78.062,75.18199999999999,74.22599999999998
42,0.42000000000000004,74.796,64.248,51.086,56.342000000000006,67.888,78.09,75.19999999999999,74.282
43,0.43,74.826,64.36,51.086,56.342000000000006,67.888,78.12,75.22599999999998,74.316
44,0.44000000000000006,74.874,64.36,51.172,56.342000000000006,67.888,78.172,75.276,74.358
45,0.45,74.934,64.36,51.342,56.658,68.158,78.208,75.32000000000001,74.438
46,0.4600000000000001,74.97200000000001,64.36,51.501999999999995,56.772000000000006,68.158,78.23799999999999,75.346,74.49600000000001
47,0.4699999999999999,75.02799999999999,64.634,51.67,56.996,68.158,78.268,75.39,74.56199999999998
48,0.48,75.076,64.748,51.757999999999996,57.214,68.158,78.30199999999999,75.46,74.584
