,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
0,0.0,65.082,48.88,13.489999999999998,34.318,47.848,71.482,66.064,63.81600000000001
1,0.01,65.146,49.001999999999995,13.572,34.418,47.848,71.54,66.132,63.86999999999999
2,0.02,65.234,48.88,13.572,34.418,47.848,71.652,66.242,63.926
3,0.03,65.304,49.129999999999995,13.489999999999998,34.318,47.848,71.73400000000001,66.322,63.984
4,0.04,65.36,49.24399999999999,13.489999999999998,34.318,47.848,71.796,66.4,64.014
5,0.05,65.404,49.24399999999999,13.489999999999998,34.318,47.848,71.848,66.45,64.05
6,0.06,65.472,49.24399999999999,13.489999999999998,34.318,47.848,71.932,66.51,64.128
7,0.07,65.52,49.24399999999999,13.489999999999998,34.318,47.848,71.98799999999999,66.55799999999999,64.184
8,0.08,65.56199999999998,49.24399999999999,13.410000000000002,34.432,47.848,72.03600000000002,66.59,64.228
9,0.09,65.63,49.24399999999999,13.410000000000002,34.532,47.848,72.10999999999999,66.65,64.306
10,0.1,65.682,49.24399999999999,13.410000000000002,34.642,47.848,72.16799999999998,66.72200000000001,64.342
11,0.11000000000000001,65.74799999999999,49.366,13.410000000000002,34.642,47.848,72.236,66.79599999999999,64.386
12,0.12,65.83400000000002,49.366,13.410000000000002,34.642,47.848,72.342,66.928,64.418
13,0.13,65.89599999999999,49.477999999999994,13.410000000000002,34.642,47.848,72.414,67.024,64.438
14,0.14,65.962,49.721999999999994,13.410000000000002,34.642,47.848,72.478,67.1,64.484
15,0.15,66.00000000000001,49.721999999999994,13.410000000000002,34.642,47.848,72.524,67.126,64.53999999999999
16,0.16,66.036,49.873999999999995,13.494,34.642,47.848,72.55199999999999,67.178,64.55199999999999
17,0.17,66.11600000000001,49.873999999999995,13.574000000000002,34.856,48.106,72.63000000000001,67.248,64.654
18,0.18,66.152,49.873999999999995,13.486,34.856,48.106,72.67800000000001,67.26599999999999,64.708
19,0.19,66.244,49.98799999999999,13.486,34.856,48.106,72.78,67.36999999999999,64.786
20,0.2,66.294,50.13799999999999,13.398000000000001,34.856,48.106,72.83800000000001,67.424,64.83200000000001
21,0.21000000000000002,66.346,50.13799999999999,13.398000000000001,34.856,48.376,72.89599999999999,67.458,64.912
22,0.22000000000000003,66.402,50.13799999999999,13.486,34.856,48.376,72.95599999999999,67.482,65.0
23,0.23000000000000004,66.43599999999999,50.26199999999999,13.486,34.856,48.376,72.98999999999998,67.50800000000001,65.046
24,0.24,66.50800000000001,50.495999999999995,13.486,34.856,48.65,73.058,67.568,65.134
25,0.25,66.55199999999999,50.495999999999995,13.486,34.856,48.65,73.10999999999999,67.62199999999999,65.168
26,0.26,66.612,50.61,13.574000000000002,34.97,48.65,73.164,67.674,65.236
27,0.27,66.686,50.61,13.656,34.97,48.92,73.24,67.752,65.304
28,0.28,66.752,50.61,13.741999999999999,34.97,48.92,73.316,67.84599999999999,65.338
29,0.29,66.832,50.738,13.830000000000002,34.97,48.92,73.398,67.90599999999999,65.436
30,0.3,66.90599999999999,50.85,13.916,34.97,49.182,73.464,67.976,65.516
31,0.31,66.978,50.85,13.916,34.97,49.182,73.554,68.054,65.584
32,0.32,67.03800000000001,51.128,13.916,34.97,49.182,73.612,68.128,65.628
33,0.33,67.116,51.128,13.916,35.190000000000005,49.182,73.694,68.16999999999999,65.75
34,0.34,67.17399999999999,51.128,13.916,35.190000000000005,49.182,73.764,68.228,65.80600000000001
35,0.35,67.2,51.128,13.916,35.190000000000005,49.182,73.79400000000001,68.256,65.828
36,0.36,67.256,51.242000000000004,13.916,35.190000000000005,49.182,73.856,68.336,65.86200000000001
37,0.37,67.31,51.482000000000006,13.916,35.190000000000005,49.182,73.908,68.38400000000001,65.91600000000001
38,0.38,67.358,51.482000000000006,13.916,35.290000000000006,49.182,73.962,68.44399999999999,65.952
39,0.39,67.436,51.482000000000006,13.916,35.404,49.182,74.05,68.516,66.04400000000001
40,0.4,67.48,51.604,13.998000000000001,35.404,49.182,74.08999999999999,68.56800000000001,66.078
41,0.41,67.54800000000002,51.726,13.998000000000001,35.404,49.182,74.164,68.646,66.13199999999999
42,0.42000000000000004,67.612,51.839999999999996,14.080000000000002,35.404,49.182,74.23,68.69800000000001,66.212
43,0.43,67.642,51.952,14.080000000000002,35.404,49.182,74.26,68.724,66.24600000000001
44,0.44000000000000006,67.69000000000001,51.952,14.166,35.404,49.182,74.31,68.776,66.292
45,0.45,67.758,51.952,14.336000000000002,35.722,49.452000000000005,74.356,68.82,66.39
46,0.4600000000000001,67.798,51.952,14.498,35.836,49.452000000000005,74.386,68.848,66.446
47,0.4699999999999999,67.85400000000001,52.227999999999994,14.666,36.06,49.452000000000005,74.416,68.89000000000001,66.514
48,0.48,67.92,52.342,14.754,36.279999999999994,49.452000000000005,74.474,68.97399999999999,66.556
49,0.49000000000000005,67.96600000000001,52.464,14.754,36.279999999999994,49.452000000000005,74.52000000000001,68.97399999999999,66.662
50,0.5,67.99800000000002,52.464,14.84,36.279999999999994,49.452000000000005,74.554,68.994,66.716
51,0.51,68.07,52.464,14.925999999999998,36.388,49.452000000000005,74.624,69.064,66.784
52,0.52,68.10999999999999,52.576,14.925999999999998,36.388,49.452000000000005,74.672,69.096,66.83800000000001
53,0.53,68.15,52.576,14.925999999999998,36.498000000000005,49.452000000000005,74.71399999999998,69.134,66.88199999999999
