,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
0,0.0,89.15200000000002,82.38,64.74600000000001,75.90799999999999,82.354,92.03999999999999,90.104,87.92
1,0.01,89.148,82.38,64.822,75.794,82.352,92.034,90.104,87.91
2,0.02,89.18199999999999,82.38,65.08399999999999,76.02799999999999,82.61,92.038,90.13,87.95400000000001
3,0.03,89.178,82.38,64.84200000000001,76.136,82.61,92.044,90.114,87.966
4,0.04,89.178,82.38,65.16,76.03,82.61,92.02799999999999,90.122,87.954
5,0.05,89.2,82.38,65.32000000000001,76.13399999999999,82.352,92.046,90.14,87.98599999999999
6,0.06,89.256,82.38,66.006,76.684,82.884,92.02199999999999,90.176,88.066
7,0.07,89.26399999999998,82.38,65.998,76.354,82.884,92.052,90.20199999999998,88.054
8,0.08,89.25399999999999,82.38,65.84,76.57,82.884,92.03999999999999,90.18400000000001,88.054
9,0.09,89.268,82.38,65.998,76.456,82.884,92.05199999999999,90.194,88.076
10,0.1,89.25399999999999,82.508,66.002,76.23999999999998,82.884,92.03999999999999,90.174,88.066
11,0.11000000000000001,89.304,82.508,66.742,76.23999999999998,82.884,92.044,90.18199999999999,88.16799999999999
12,0.12,89.3,82.508,66.412,76.248,83.154,92.056,90.184,88.154
13,0.13,89.324,82.614,66.404,76.578,83.154,92.062,90.184,88.21
14,0.14,89.284,82.508,66.24600000000001,76.47,82.884,92.04400000000001,90.176,88.13199999999999
15,0.15,89.304,82.61999999999999,65.916,76.8,83.154,92.06199999999998,90.166,88.19
16,0.16,89.342,82.61999999999999,66.336,76.798,83.154,92.08,90.19200000000001,88.242
17,0.17,89.352,82.61999999999999,66.5,76.904,83.416,92.06800000000001,90.21799999999999,88.232
18,0.18,89.38399999999999,82.61999999999999,66.74600000000001,76.674,83.676,92.09200000000001,90.236,88.27399999999999
19,0.19,89.39399999999999,82.61999999999999,66.99199999999999,76.78,83.146,92.09200000000001,90.244,88.28599999999999
20,0.2,89.422,82.61999999999999,67.334,77.008,83.406,92.08599999999998,90.254,88.342
21,0.21000000000000002,89.41600000000001,82.61999999999999,67.176,77.0,83.676,92.08599999999998,90.256,88.332
22,0.22000000000000003,89.39000000000001,82.61999999999999,66.854,76.894,83.676,92.08599999999998,90.22800000000001,88.308
