,Lambda,Overall,Asian,Black,Hisp,Other,White,Male,Female
0,0.0,99.17,98.766,91.97800000000001,97.762,97.326,99.814,99.246,99.074
1,0.01,99.184,98.766,92.06,97.658,97.33,99.83000000000001,99.28,99.062
2,0.02,99.14200000000001,98.766,91.982,97.42600000000002,97.07,99.804,99.22,99.03999999999999
3,0.03,99.13399999999999,98.766,91.888,97.536,97.07,99.79799999999999,99.22,99.03
4,0.04,99.09599999999999,98.766,91.578,97.21000000000001,97.07,99.794,99.212,98.952
5,0.05,99.08,98.766,91.248,97.31800000000001,97.33,99.788,99.17599999999999,98.964
6,0.06,98.97800000000001,98.766,90.06800000000001,96.56000000000002,96.79599999999999,99.79799999999999,99.124,98.792
7,0.07,98.98799999999999,98.766,90.23999999999998,96.888,96.79599999999999,99.78200000000001,99.114,98.828
8,0.08,98.97,98.766,89.902,96.884,96.79599999999999,99.782,99.114,98.784
9,0.09,98.934,98.766,89.578,96.77000000000001,96.79599999999999,99.77,99.10600000000001,98.716
10,0.1,98.97999999999999,98.638,90.23999999999998,96.774,96.79599999999999,99.782,99.122,98.79599999999999
11,0.11000000000000001,98.97999999999999,98.638,90.146,96.774,96.79599999999999,99.78599999999999,99.14999999999999,98.76199999999999
12,0.12,98.92399999999999,98.638,89.658,96.554,96.524,99.77599999999998,99.11399999999999,98.68599999999999
13,0.13,98.86,98.53,88.822,96.22600000000001,96.524,99.78200000000001,99.116,98.538
14,0.14,98.86999999999999,98.638,88.982,96.33200000000002,96.79599999999999,99.764,99.072,98.614
15,0.15,98.852,98.524,88.98600000000002,96.23,96.524,99.758,99.08,98.56199999999998
16,0.16,98.78399999999999,98.28,88.194,96.234,96.524,99.73999999999998,99.02000000000001,98.482
17,0.17,98.76599999999999,98.28,88.018,96.126,96.26,99.74,98.962,98.51400000000001
18,0.18,98.636,98.28,86.63199999999999,95.924,96.00200000000001,99.704,98.89000000000001,98.31800000000001
19,0.19,98.654,98.28,87.03,95.81800000000001,96.532,99.69200000000001,98.89599999999999,98.352
20,0.2,98.666,98.28,86.86600000000001,95.808,96.274,99.722,98.90799999999999,98.358
21,0.21000000000000002,98.64,98.28,86.684,95.596,96.00200000000001,99.72200000000001,98.926,98.284
22,0.22000000000000003,98.66599999999998,98.28,87.158,95.702,96.00200000000001,99.71,98.91600000000001,98.348
23,0.23000000000000004,98.58200000000002,98.28,85.998,95.486,96.26,99.698,98.87799999999999,98.202
24,0.24,98.566,98.28,85.85,95.24999999999999,96.26,99.704,98.87,98.17999999999999
25,0.25,98.46000000000001,98.152,84.678,95.27199999999999,95.74199999999999,99.674,98.776,98.058
26,0.26,98.33,98.026,83.622,94.498,95.74199999999999,99.638,98.65599999999999,97.91399999999999
27,0.27,98.316,98.026,83.54999999999998,94.724,95.74199999999999,99.614,98.672,97.85799999999999
28,0.28,98.28,98.026,82.954,94.724,95.74199999999999,99.614,98.646,97.814
29,0.29,98.26000000000002,97.874,83.304,94.724,95.74199999999999,99.574,98.61999999999999,97.8
30,0.3,98.252,97.874,83.23400000000001,94.624,95.47200000000001,99.58000000000001,98.594,97.81400000000001
31,0.31,98.21799999999999,98.026,82.718,94.296,95.74199999999999,99.58,98.612,97.712
32,0.32,98.192,98.026,82.728,94.292,95.46799999999999,99.55600000000001,98.584,97.69200000000001
33,0.33,98.16400000000002,98.152,82.422,94.292,95.46799999999999,99.53800000000001,98.53399999999999,97.68800000000002
34,0.34,98.07000000000001,97.86600000000001,81.65,94.49,94.946,99.49000000000001,98.46400000000001,97.566
35,0.35,98.076,97.85,81.576,94.39,94.936,99.51000000000002,98.482,97.556
36,0.36,98.064,97.738,81.57399999999998,94.188,95.20599999999999,99.51,98.47200000000001,97.54599999999999
37,0.37,98.08000000000001,97.888,81.502,94.188,95.21000000000001,99.526,98.498,97.544
38,0.38,98.006,97.888,80.642,94.08399999999999,94.678,99.51400000000001,98.42,97.476
39,0.39,97.97999999999999,97.738,80.90199999999999,93.97399999999999,94.404,99.486,98.38399999999999,97.466
40,0.4,97.98599999999999,97.738,80.576,94.08399999999999,94.936,99.498,98.392,97.464
41,0.41,97.994,97.612,80.664,94.18599999999999,94.676,99.506,98.41999999999999,97.444
42,0.42000000000000004,97.976,97.612,80.578,93.74199999999999,94.676,99.51599999999999,98.402,97.432
43,0.43,97.976,97.612,80.91,93.642,94.676,99.49799999999999,98.39399999999999,97.44399999999999
44,0.44000000000000006,98.012,97.85,80.91799999999999,93.75399999999999,94.676,99.52000000000001,98.41999999999999,97.486
45,0.45,98.02600000000001,97.738,80.828,93.756,94.676,99.55,98.454,97.476
46,0.4600000000000001,98.01599999999999,97.586,80.576,93.97,94.676,99.55,98.46200000000002,97.442
47,0.4699999999999999,98.032,97.85,80.82,93.864,94.676,99.54400000000001,98.42999999999999,97.522
48,0.48,98.046,97.698,80.898,94.17,94.676,99.546,98.44399999999999,97.532
49,0.49000000000000005,97.916,97.338,80.188,93.628,94.124,99.492,98.362,97.336
50,0.5,97.59799999999998,97.36800000000001,78.37,92.574,93.33000000000001,99.318,98.134,96.908
51,0.51,97.476,97.49,77.80600000000001,92.234,92.79800000000002,99.24199999999999,98.05600000000001,96.73800000000001
52,0.52,97.478,97.49,77.81,92.014,92.27200000000002,99.26599999999999,98.022,96.784
53,0.53,97.288,97.24600000000001,76.152,91.486,92.27200000000002,99.196,97.86999999999999,96.54
54,0.54,97.298,96.994,76.31,91.38000000000001,92.26200000000001,99.212,97.882,96.55000000000001
55,0.55,97.31800000000001,97.122,76.24000000000001,91.49,92.00200000000001,99.238,97.9,96.572
56,0.56,97.284,96.994,75.84200000000001,91.48,92.266,99.22599999999998,97.9,96.494
57,0.57,97.25399999999999,96.75000000000001,75.806,91.37,92.00200000000001,99.214,97.88999999999999,96.438
58,0.58,97.21400000000001,96.59800000000001,75.39200000000001,91.26,92.00200000000001,99.20800000000001,97.864,96.382
59,0.59,96.854,96.47000000000001,72.08399999999999,89.89599999999999,91.20200000000001,99.10799999999999,97.558,95.95199999999998
60,0.6,96.828,96.22600000000001,72.088,89.89399999999999,91.20200000000001,99.092,97.518,95.95
61,0.61,96.992,96.72000000000001,73.22999999999999,90.228,91.74200000000002,99.15,97.654,96.138
62,0.62,97.08200000000001,96.84400000000002,73.874,90.748,92.27200000000002,99.16600000000001,97.778,96.19399999999999
63,0.63,97.182,96.966,74.878,90.842,92.53200000000001,99.202,97.828,96.35999999999999
64,0.64,97.19800000000001,96.966,75.03800000000001,90.53,92.796,99.22,97.82000000000001,96.40400000000001
65,0.65,97.136,96.714,74.64000000000001,90.614,92.796,99.17999999999999,97.77000000000001,96.32600000000001
66,0.66,97.16,97.088,74.72,90.96000000000001,92.53000000000002,99.172,97.794,96.348
67,0.67,97.098,97.018,74.138,90.932,91.73600000000002,99.16000000000001,97.756,96.24600000000001
68,0.68,97.098,96.77400000000002,74.298,90.936,91.73600000000002,99.16,97.742,96.27000000000001
69,0.69,97.076,97.16,73.942,90.28999999999999,91.73600000000002,99.178,97.78599999999999,96.16600000000001
70,0.7,97.09,97.172,73.67999999999999,90.496,91.99200000000002,99.19,97.77000000000001,96.21199999999999
71,0.71,97.048,97.408,73.52600000000001,90.172,91.462,99.172,97.796,96.09
72,0.72,97.014,97.174,73.278,90.172,91.20200000000001,99.16599999999998,97.76,96.054
73,0.73,96.994,96.932,72.872,90.178,91.462,99.17799999999998,97.74799999999999,96.024
